Container_ID,Declaration_Date,Declaration_Time,Trade_Regime,Origin_Country,Destination_Country,Destination_Port,HS_Code,Importer_ID,Exporter_ID,Declared_Value,Declared_Weight,Measured_Weight,Shipping_Line,Dwell_Time_Hours,Clearance_Status
C10001,2026-01-05,09:30,Import,China,United Kingdom,London,8471,IMP001,EXP021,85000,12000,18500,Maersk,120,Under Review
C10002,2026-01-06,11:00,Import,India,Netherlands,Rotterdam,6403,IMP002,EXP031,42000,8000,8200,MSC,36,Cleared
C10003,2026-01-07,14:15,Export,Germany,USA,Los Angeles,8703,IMP003,EXP011,125000,15000,14800,CMA CGM,24,Cleared
C10004,2026-01-08,08:45,Import,Nigeria,France,Marseille,2709,IMP004,EXP041,9500,22000,38000,Hapag-Lloyd,200,Held
C10005,2026-01-09,10:00,Import,Vietnam,Germany,Hamburg,6110,IMP005,EXP051,18000,6000,6100,COSCO,48,Cleared
C10006,2026-01-10,13:30,Transit,China,Brazil,Santos,8542,IMP006,EXP022,310000,500,9500,Maersk,150,Under Review
C10007,2026-01-11,09:00,Import,Turkey,United Kingdom,Felixstowe,6204,IMP007,EXP061,22000,4500,4600,MSC,30,Cleared
C10008,2026-01-12,15:00,Import,Pakistan,UAE,Dubai,5201,IMP008,EXP071,4200,18000,17800,CMA CGM,55,Cleared
C10009,2026-01-13,10:30,Import,Bangladesh,USA,New York,6109,IMP009,EXP081,31000,9000,8950,Hapag-Lloyd,40,Cleared
C10010,2026-01-14,08:00,Export,USA,China,Shanghai,8803,IMP010,EXP032,512000,800,18000,Maersk,180,Held
C10011,2026-01-15,11:45,Import,Indonesia,Netherlands,Rotterdam,4403,IMP011,EXP091,15000,12000,12200,MSC,28,Cleared
C10012,2026-01-16,09:15,Import,Malaysia,Germany,Hamburg,8517,IMP012,EXP042,67000,3500,3480,CMA CGM,22,Cleared
C10013,2026-01-17,14:00,Import,South Korea,USA,Los Angeles,8708,IMP013,EXP101,98000,5000,4950,COSCO,18,Cleared
C10014,2026-01-18,10:00,Transit,Nigeria,UK,London,2710,IMP014,EXP111,6800,25000,42000,Hapag-Lloyd,240,Held
C10015,2026-01-19,08:30,Import,Egypt,France,Marseille,0901,IMP015,EXP121,12000,8500,8600,Maersk,50,Cleared
C10016,2026-01-20,13:00,Import,China,Germany,Hamburg,9013,IMP016,EXP023,144000,9000,8800,MSC,32,Cleared
C10017,2026-01-21,09:45,Import,Brazil,Netherlands,Rotterdam,2304,IMP001,EXP131,28000,14000,13900,CMA CGM,45,Cleared
C10018,2026-01-22,11:15,Export,India,UK,London,7108,IMP017,EXP141,55000,6500,6450,COSCO,26,Cleared
C10019,2026-01-23,10:00,Import,Turkey,USA,New York,6302,IMP018,EXP151,19500,7200,12000,Hapag-Lloyd,96,Under Review
C10020,2026-01-24,08:15,Import,Vietnam,France,Le Havre,6105,IMP019,EXP161,24000,5500,5450,Maersk,20,Cleared
C10021,2026-01-25,14:30,Import,UAE,Germany,Hamburg,7113,IMP020,EXP171,88000,4000,3950,MSC,15,Cleared
C10022,2026-01-26,09:00,Import,Saudi Arabia,Netherlands,Rotterdam,2711,IMP021,EXP181,7200,28000,27800,CMA CGM,38,Cleared
C10023,2026-01-27,11:30,Transit,China,USA,Los Angeles,8471,IMP022,EXP024,275000,600,15000,COSCO,210,Held
C10024,2026-01-28,10:15,Import,Russia,Germany,Hamburg,7601,IMP023,EXP191,46000,18000,17800,Hapag-Lloyd,44,Cleared
C10025,2026-01-29,08:45,Import,Nigeria,France,Marseille,2709,IMP024,EXP201,8100,20000,35000,Maersk,190,Held
C10026,2026-01-30,13:00,Import,Indonesia,UK,London,0901,IMP025,EXP211,14500,7000,7100,MSC,33,Cleared
C10027,2026-02-01,09:30,Import,Japan,USA,Los Angeles,8544,IMP026,EXP221,72000,4200,4180,CMA CGM,19,Cleared
C10028,2026-02-02,14:00,Import,South Africa,Netherlands,Rotterdam,0804,IMP027,EXP231,9800,11000,10900,COSCO,42,Cleared
C10029,2026-02-03,10:30,Export,Germany,China,Shanghai,8703,IMP028,EXP232,189000,6800,6750,Hapag-Lloyd,16,Cleared
C10030,2026-02-04,08:00,Import,Pakistan,UAE,Dubai,6109,IMP029,EXP241,5600,9500,9400,Maersk,30,Cleared
